epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
102,2191.44,0.30357,0.20879,0.80902,0.99343,0.99539,0.99497,0.94436,0.29722,0.17668,0.79201,0.000833917,0.000277972,0.000833917,0.000277972,0.000833917,0.000277972,0.000833917,0.000277972
103,2211.75,0.2979,0.20474,0.80701,0.99249,0.99429,0.99461,0.94792,0.29085,0.17779,0.78931,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422
104,2231.77,0.29687,0.19988,0.80209,0.99197,0.99231,0.99465,0.94865,0.28663,0.17648,0.78792,0.0007514,0.000250467,0.0007514,0.000250467,0.0007514,0.000250467,0.0007514,0.000250467
105,2251.27,0.29525,0.20256,0.80564,0.9937,0.99181,0.99474,0.94406,0.29087,0.17505,0.78913,0.000710142,0.000236714,0.000710142,0.000236714,0.000710142,0.000236714,0.000710142,0.000236714
106,2271.15,0.28268,0.19745,0.80423,0.99417,0.99464,0.9949,0.94653,0.29127,0.17496,0.78879,0.000668884,0.000222961,0.000668884,0.000222961,0.000668884,0.000222961,0.000668884,0.000222961
107,2291.17,0.29183,0.20217,0.80543,0.99911,0.98836,0.99467,0.94774,0.28915,0.17414,0.78935,0.000627626,0.000209209,0.000627626,0.000209209,0.000627626,0.000209209,0.000627626,0.000209209
108,2310.74,0.29415,0.19826,0.80841,0.99306,0.99119,0.99477,0.94869,0.28256,0.17211,0.78976,0.000586367,0.000195456,0.000586367,0.000195456,0.000586367,0.000195456,0.000586367,0.000195456
109,2330.14,0.28768,0.19632,0.80367,0.99079,0.99317,0.99495,0.94818,0.27954,0.17074,0.78953,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
110,2349.6,0.28267,0.19449,0.80193,0.99418,0.99605,0.995,0.94837,0.28566,0.1696,0.79126,0.000503851,0.00016795,0.000503851,0.00016795,0.000503851,0.00016795,0.000503851,0.00016795
111,2394.69,0.28012,0.18034,0.77602,0.99144,0.99495,0.99495,0.94808,0.29094,0.17567,0.79049,0.000462593,0.000154198,0.000462593,0.000154198,0.000462593,0.000154198,0.000462593,0.000154198
112,2414.89,0.27202,0.18139,0.78841,0.99418,0.99411,0.99454,0.94632,0.28776,0.17418,0.79187,0.000421334,0.000140445,0.000421334,0.000140445,0.000421334,0.000140445,0.000421334,0.000140445
113,2434.19,0.2746,0.17726,0.78451,0.99241,0.99476,0.99497,0.94594,0.28849,0.17158,0.79105,0.000380076,0.000126692,0.000380076,0.000126692,0.000380076,0.000126692,0.000380076,0.000126692
114,2453.61,0.27129,0.17551,0.78528,0.99068,0.99495,0.99492,0.94666,0.28481,0.16931,0.79064,0.000338818,0.000112939,0.000338818,0.000112939,0.000338818,0.000112939,0.000338818,0.000112939
115,2473.71,0.26144,0.17166,0.78216,0.99418,0.9929,0.99477,0.94736,0.28422,0.17194,0.79026,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05
116,2494.44,0.2654,0.17057,0.78687,0.99401,0.99282,0.99487,0.94845,0.28303,0.16848,0.78927,0.000256301,8.54337e-05,0.000256301,8.54337e-05,0.000256301,8.54337e-05,0.000256301,8.54337e-05
117,2514.66,0.26048,0.1701,0.78127,0.99419,0.99305,0.99484,0.94812,0.28366,0.16874,0.78862,0.000215043,7.1681e-05,0.000215043,7.1681e-05,0.000215043,7.1681e-05,0.000215043,7.1681e-05
118,2534.95,0.25653,0.16878,0.77603,0.99407,0.99303,0.99487,0.94749,0.28092,0.16838,0.78792,0.000173785,5.79283e-05,0.000173785,5.79283e-05,0.000173785,5.79283e-05,0.000173785,5.79283e-05
119,2555.36,0.2607,0.17007,0.77806,0.99399,0.99281,0.9948,0.94763,0.28046,0.16931,0.78887,0.000132527,4.41755e-05,0.000132527,4.41755e-05,0.000132527,4.41755e-05,0.000132527,4.41755e-05
120,2575.89,0.26194,0.16863,0.78431,0.98974,0.99495,0.99488,0.94916,0.27703,0.1683,0.78865,9.12682e-05,3.04227e-05,9.12682e-05,3.04227e-05,9.12682e-05,3.04227e-05,9.12682e-05,3.04227e-05
