epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
101,5121.71,0.38122,0.23939,0.82268,0.9897,0.98574,0.9936,0.9407,0.31588,0.18383,0.78873,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,5182.23,0.37619,0.23826,0.81879,0.99176,0.98933,0.99376,0.94193,0.31175,0.18494,0.79001,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,5237.16,0.37415,0.23898,0.82395,0.99252,0.98767,0.99377,0.94338,0.31099,0.18581,0.78965,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,5286.92,0.38071,0.24377,0.82233,0.99115,0.9866,0.99334,0.94505,0.30582,0.18532,0.78896,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,5336.47,0.37217,0.23799,0.81847,0.98704,0.9866,0.99356,0.94221,0.3079,0.18267,0.79043,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,5387.81,0.3786,0.24061,0.82105,0.99165,0.9866,0.99359,0.94372,0.31068,0.18186,0.78983,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,5437.9,0.36799,0.2333,0.82119,0.99131,0.98862,0.99353,0.9435,0.30385,0.1812,0.78584,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,5488.3,0.36791,0.23443,0.82162,0.99462,0.9878,0.99378,0.94827,0.29993,0.18145,0.78666,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,5539.44,0.36825,0.2375,0.82186,0.99151,0.98862,0.99359,0.94614,0.30301,0.1811,0.78728,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,5590.82,0.37075,0.23342,0.81677,0.99692,0.98933,0.99371,0.94529,0.30237,0.1773,0.7846,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,5640.48,0.37334,0.23468,0.82004,0.99685,0.98874,0.99369,0.94127,0.30171,0.17879,0.78745,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,5690.17,0.36542,0.23221,0.81679,0.9944,0.9893,0.9937,0.94458,0.3019,0.17786,0.78823,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,5740.6,0.36791,0.23221,0.82081,0.99309,0.98707,0.99356,0.94399,0.30142,0.17482,0.78886,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,5791.74,0.36829,0.23234,0.82076,0.98558,0.99479,0.9947,0.94537,0.30081,0.17803,0.79123,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,5843.5,0.36191,0.22878,0.81748,0.99115,0.98918,0.99346,0.94519,0.29903,0.17616,0.78856,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,5896.2,0.36269,0.23132,0.81947,0.9953,0.98733,0.9935,0.94148,0.2992,0.17858,0.78478,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,5949.58,0.3623,0.23158,0.81752,0.99228,0.98788,0.99356,0.94202,0.30083,0.17622,0.78362,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,6003.46,0.36134,0.23055,0.81991,0.99335,0.98805,0.9936,0.94323,0.30211,0.17614,0.78431,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,6056.99,0.36242,0.22911,0.8205,0.9931,0.9876,0.99343,0.94313,0.30103,0.17385,0.78396,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,6111.71,0.35875,0.22637,0.81741,0.99158,0.98859,0.99344,0.94518,0.29844,0.17268,0.78505,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,6164.07,0.35521,0.22921,0.81706,0.99477,0.99128,0.99495,0.94462,0.29946,0.16941,0.784,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,6215.92,0.3628,0.22735,0.81871,0.99342,0.99124,0.99492,0.94564,0.29827,0.17155,0.78234,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,6266.51,0.3586,0.22615,0.8146,0.98981,0.98933,0.99363,0.94536,0.29803,0.17082,0.78522,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,6317.69,0.358,0.22682,0.81887,0.9966,0.99153,0.99497,0.9466,0.29163,0.16782,0.78579,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,6367.86,0.35176,0.22186,0.81478,0.99364,0.98933,0.99373,0.94818,0.2886,0.16672,0.7837,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,6418.24,0.35166,0.21981,0.81546,0.99039,0.98933,0.99368,0.94393,0.29025,0.16695,0.78548,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,6468.03,0.35475,0.22325,0.81316,0.9896,0.98933,0.99359,0.94641,0.29049,0.16722,0.78803,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,6524.13,0.35102,0.22016,0.81368,0.98679,0.98933,0.99354,0.94508,0.29004,0.16855,0.78683,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,6583.25,0.34968,0.22094,0.81651,0.98512,0.99174,0.99347,0.94661,0.28811,0.17109,0.78813,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
130,6633.86,0.35454,0.22148,0.82055,0.98539,0.99444,0.99471,0.94711,0.28534,0.16786,0.788,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145
131,6688.07,0.34742,0.21779,0.81789,0.99121,0.99134,0.99481,0.94856,0.28473,0.16797,0.7829,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
